generation_id,generation,series,variant_id,engine,engine_type,fuel_type,displacement_cc,cylinders,horsepower_hp,torque_nm,transmission,drivetrain,acceleration_0_100_s,top_speed_kmh,weight_kg,length_mm,width_mm,height_mm,wheelbase_mm,fuel_consumption,battery_kwh,electric_range_km
BMW_3-15_DA2,3/15 DA 2,3/15,3-15_DA2_Standard,M15,I4,Petrol,748,4,15,36,3-speed manual,RWD,,75,410,2900,1270,1625,1905,6.0,,
BMW_3-15_DA2,3/15 DA 3 Wartburg,3/15,3-15_DA3_Wartburg,M15 Sport,I4,Petrol,748,4,18,40,3-speed manual,RWD,,90,410,2950,1270,1400,1905,6.5,,
BMW_3-15_DA2,3/15 DA 4,3/15,3-15_DA4,M15,I4,Petrol,748,4,15,36,3-speed manual,RWD,,75,480,2950,1280,1630,1905,6.0,,
BMW_3-20_AM,3/20 PS,3/20,3-20_AM1,M20 (1932),I4,Petrol,782,4,20,45,4-speed manual,RWD,,80,650,3200,1370,1550,2150,7.0,,
BMW_303,303,303,303_Saloon,M78,I6,Petrol,1173,6,30,68,4-speed manual,RWD,,90,820,3750,1440,1550,2400,9.0,,
BMW_309,309,309,309_Saloon,M309,I4,Petrol,845,4,22,50,4-speed manual,RWD,,80,750,3750,1440,1550,2400,8.5,,
BMW_315,315,315,315_Standard,M315,I6,Petrol,1490,6,34,80,4-speed manual,RWD,,100,830,3750,1440,1550,2400,9.5,,
BMW_315,315/1,315,315_1_Roadster,M315 Sport,I6,Petrol,1490,6,40,90,4-speed manual,RWD,,120,750,3800,1440,1350,2400,10.0,,
BMW_319,319,319,319_Saloon,M319,I6,Petrol,1911,6,45,100,4-speed manual,RWD,,115,850,3750,1440,1550,2400,11.0,,
BMW_319,319/1,319,319_1_Roadster,M319 Sport,I6,Petrol,1911,6,55,115,4-speed manual,RWD,,130,780,3800,1440,1350,2400,11.5,,
BMW_329,329,329,329_Cabriolet,M319,I6,Petrol,1911,6,45,100,4-speed manual,RWD,,110,880,4000,1440,1500,2400,11.0,,
BMW_320,320,320,320_Saloon,M326 (Detuned),I6,Petrol,1971,6,45,100,4-speed manual,RWD,,110,1025,4500,1500,1550,2750,11.0,,
BMW_321,321,321,321_Saloon,M321,I6,Petrol,1971,6,45,102,4-speed manual,RWD,,115,1000,4500,1550,1540,2750,10.5,,
BMW_326,326,326,326_Limousine,M326,I6,Petrol,1971,6,50,108,4-speed manual,RWD,,115,1150,4600,1600,1540,2870,12.5,,
BMW_327,327,327,327_Coupe,M326,I6,Petrol,1971,6,55,115,4-speed manual,RWD,,125,1100,4500,1600,1420,2750,12.0,,
BMW_327,327/28,327,327_28_Cabriolet,M328,I6,Petrol,1971,6,80,128,4-speed manual,RWD,,140,1100,4500,1600,1420,2750,13.5,,
