generation_id,year,month,units_sold
BMW_3-15_DA2,1929,,5368
BMW_3-15_DA2,1930,,6779
BMW_3-15_DA2,1931,,5109
BMW_3-15_DA2,1932,,1720
BMW_3-20_AM,1932,,1980
BMW_3-20_AM,1933,,3520
BMW_3-20_AM,1934,,1715
BMW_303,1933,,1050
BMW_303,1934,,1250
BMW_309,1934,,1800
BMW_309,1935,,2900
BMW_309,1936,,1300
BMW_315,1934,,1500
BMW_315,1935,,4100
BMW_315,1936,,3200
BMW_315,1937,,1195
BMW_319,1935,,2100
BMW_319,1936,,3300
BMW_319,1937,,1424
BMW_329,1936,,600
BMW_329,1937,,648
BMW_320,1937,,1850
BMW_320,1938,,2390
BMW_321,1938,,1200
BMW_321,1939,,5500
BMW_321,1940,,3800
BMW_321,1941,,1485
BMW_326,1936,,1586
BMW_326,1937,,4120
BMW_326,1938,,4850
BMW_326,1939,,3610
BMW_326,1940,,1340
BMW_326,1941,,430
BMW_327,1937,,186
BMW_327,1938,,520
BMW_327,1939,,450
BMW_327,1940,,180
BMW_327,1941,,60
BMW_328,1936,,34
BMW_328,1937,,126
BMW_328,1938,,172
BMW_328,1939,,105
BMW_328,1940,,27
BMW_335,1939,,115
BMW_335,1940,,230
BMW_335,1941,,70
BMW_501,1952,,49
BMW_501,1953,,1410
BMW_501,1954,,1930
BMW_501,1955,,2150
BMW_501,1956,,1680
BMW_501,1957,,1140
BMW_501,1958,,582
BMW_502,1954,,190
BMW_502,1955,,1420
BMW_502,1956,,1950
BMW_502,1957,,1820
BMW_502,1958,,1640
BMW_502,1959,,1430
BMW_502,1960,,1180
BMW_502,1961,,729
BMW_503,1956,,98
BMW_503,1957,,148
BMW_503,1958,,112
BMW_503,1959,,55
BMW_507,1956,,34
BMW_507,1957,,105
BMW_507,1958,,78
BMW_507,1959,,35
BMW_3200_CS,1962,,85
BMW_3200_CS,1963,,230
BMW_3200_CS,1964,,210
BMW_3200_CS,1965,,77
BMW_ISETTA,1955,,12911
BMW_ISETTA,1956,,27320
BMW_ISETTA,1957,,39500
BMW_ISETTA,1958,,34100
BMW_ISETTA,1959,,22400
BMW_ISETTA,1960,,14200
BMW_ISETTA,1961,,8200
BMW_ISETTA,1962,,3097
BMW_600,1957,,2200
BMW_600,1958,,23100
BMW_600,1959,,9513
BMW_700,1959,,3200
BMW_700,1960,,34500
BMW_700,1961,,41200
BMW_700,1962,,39800
BMW_700,1963,,33100
BMW_700,1964,,25400
BMW_700,1965,,11011
BMW_NK_SEDAN,1962,,4200
BMW_NK_SEDAN,1963,,24800
BMW_NK_SEDAN,1964,,38100
BMW_NK_SEDAN,1965,,43500
BMW_NK_SEDAN,1966,,48200
BMW_NK_SEDAN,1967,,41900
BMW_NK_SEDAN,1968,,39400
BMW_NK_SEDAN,1969,,34100
BMW_NK_SEDAN,1970,,28600
BMW_NK_SEDAN,1971,,19500
BMW_NK_SEDAN,1972,,7326
BMW_NK_COUPE,1965,,1200
BMW_NK_COUPE,1966,,4600
BMW_NK_COUPE,1967,,3900
BMW_NK_COUPE,1968,,3100
BMW_NK_COUPE,1969,,891
BMW_02_SERIES,1966,,13600
BMW_02_SERIES,1967,,42100
BMW_02_SERIES,1968,,68500
BMW_02_SERIES,1969,,89200
BMW_02_SERIES,1970,,105400
BMW_02_SERIES,1971,,118300
BMW_02_SERIES,1972,,122400
BMW_02_SERIES,1973,,114800
BMW_02_SERIES,1974,,87600
BMW_02_SERIES,1975,,61200
BMW_02_SERIES,1976,,32100
BMW_02_SERIES,1977,,6740
BMW_E3_SEDAN,1968,,5400
BMW_E3_SEDAN,1969,,22100
BMW_E3_SEDAN,1970,,31200
BMW_E3_SEDAN,1971,,33400
BMW_E3_SEDAN,1972,,32900
BMW_E3_SEDAN,1973,,29800
BMW_E3_SEDAN,1974,,23100
BMW_E3_SEDAN,1975,,21800
BMW_E3_SEDAN,1976,,16900
BMW_E3_SEDAN,1977,,5391
BMW_E9_COUPE,1968,,1100
BMW_E9_COUPE,1969,,3900
BMW_E9_COUPE,1970,,4800
BMW_E9_COUPE,1971,,5400
BMW_E9_COUPE,1972,,5100
BMW_E9_COUPE,1973,,4600
BMW_E9_COUPE,1974,,3400
BMW_E9_COUPE,1975,,2246
BMW_M1_E26,1978,,35
BMW_M1_E26,1979,,140
BMW_M1_E26,1980,,188
BMW_M1_E26,1981,,90
BMW_3_E21,1975,,42100
BMW_3_E21,1976,,138400
BMW_3_E21,1977,,178200
BMW_3_E21,1978,,196800
BMW_3_E21,1979,,208500
BMW_3_E21,1980,,218900
BMW_3_E21,1981,,204300
BMW_3_E21,1982,,139100
BMW_3_E21,1983,,37739
BMW_3_E30,1982,,28400
BMW_3_E30,1983,,174500
BMW_3_E30,1984,,221300
BMW_3_E30,1985,,249600
BMW_3_E30,1986,,278100
BMW_3_E30,1987,,298400
BMW_3_E30,1988,,289700
BMW_3_E30,1989,,269500
BMW_3_E30,1990,,234100
BMW_3_E30,1991,,164200
BMW_3_E30,1992,,82600
BMW_3_E30,1993,,36100
BMW_3_E30,1994,,13028
